food_id,menu_id,food_name,calories,fat,saturated_fat,trans_fat,cholesterol,sodium,carbohydrates,fiber,sugar,protein,vit_a,vit_c,calcium,iron,is_vegetarian,is_vegan,is_gf
6817,535,"6"" Steak Sub",491,19,10,0,108,"1,229",43,2,2,33,15,6,22,27,0,0,0
6818,535,Junior Steak Sub,245,9,5,0,54,614,21,1,1,16,7,3,11,13,0,0,0
6819,535,Steak Sandwich,441,18,10,0,108,"1,119",32,1,2,30,0,6,70,14,0,0,0
6820,535,Steak Sandwich,431,18,9,0,108,"1,219",2,4,1,29,0,6,66,14,0,0,0
6821,535,"6"" Steak Sub ",381,10,4,0,78,769,43,2,2,33,15,0,4,27,0,0,0
6822,535,Junior Steak Sub,190,5,2,0,39,384,21,1,1,16,7,0,2,13,0,0,0
6823,535,Steak Sandwich,331,9,4,0,78,659,32,1,2,30,0,0,52,14,0,0,0
6824,535,Steak Sandwich,321,9,3,0,78,759,2,4,1,29,0,0,48,14,0,0,0
6825,535,"6"" Meatball Sub ",520,27,13,0,70,"1,380",46,2,3,20,17,6,24,23,0,0,0
6826,535,Junior Meatball Sub,260,13,6,0,35,690,23,1,1,10,8,3,12,11,0,0,0
6827,535,Meatball Sandwich,470,26,13,0,70,"1,270",35,1,3,17,2,6,72,10,0,0,0
6828,535,Meatball Sandwich,460,26,12,0,70,"1,370",5,4,2,16,2,6,68,10,0,0,0
6829,535,"6"" Meatball Sub ",410,18,7,0,40,920,46,2,3,20,17,0,6,23,0,0,0
6830,535,Junior Meatball Sub,205,9,3,0,20,460,23,1,1,10,8,0,3,11,0,0,0
6831,535,Meatball Sandwich,360,17,7,0,40,810,35,1,3,17,2,0,54,10,0,0,0
6832,535,Meatball Sandwich,350,17,6,0,40,910,5,4,2,16,2,0,50,10,0,0,0
6833,535,"6"" Roasted Chicken Sub ",462,15,8,0,102,"1,525",42,2,2,34,15,6,20,16,0,0,0
6834,535,Junior Roasted Chicken Sub,231,7,4,0,51,762,21,1,1,17,7,3,10,8,0,0,0
6835,535,Roasted Chicken Sandwich,412,15,8,0,102,"1,415",31,1,2,31,0,6,68,3,0,0,0
6836,535,Roasted Chicken Sandwich,402,15,7,0,102,"1,515",1,4,1,30,0,6,64,3,0,0,0
6837,535,"6"" Roasted Chicken Sub ",352,6,2,0,72,"1,065",42,2,2,34,15,0,2,16,0,0,0
6838,535,Junior Roasted Chicken Sub,176,3,1,0,36,532,21,1,1,17,7,0,1,8,0,0,0
6839,535,Roasted Chicken Sandwich,302,6,2,0,72,955,31,1,2,31,0,0,50,3,0,0,0
6840,535,Roasted Chicken Sandwich,292,6,1,0,72,"1,055",1,4,1,30,0,0,46,3,0,0,0
6841,535,"6"" Buffalo Chicken Sub ",467,15,8,0,102,"2,935",42,2,2,34,35,16,20,16,0,0,0
6842,535,Junior Buffalo Chicken Sub,233,7,4,0,51,"1,467",21,1,1,17,17,8,10,8,0,0,0
6843,535,Buffalo Chicken Sandwich,417,15,8,0,102,"2,825",31,1,2,31,20,16,68,3,0,0,0
6844,535,Buffalo Chicken Sandwich,407,15,7,0,102,"2,925",1,4,1,30,20,16,64,3,0,0,0
6845,535,"6"" Buffalo Chicken Sub ",357,6,2,0,72,"2,475",42,2,2,34,35,10,2,16,0,0,0
6846,535,Junior Buffalo Chicken Sub,178,3,1,0,36,"1,237",21,1,1,17,17,5,1,8,0,0,0
6847,535,Buffalo Chicken Sandwich,307,6,2,0,72,"2,365",31,1,2,31,20,10,50,3,0,0,0
6848,535,Buffalo Chicken Sandwich,297,6,1,0,72,"2,465",1,4,1,30,20,10,46,3,0,0,0
6849,535,"6"" Pepperoni Sub ",600,38,17,0,80,"1,890",41,2,2,18,15,6,20,15,0,0,0
6850,535,Junior Pepperoni Sub,300,19,8,0,40,945,20,1,1,9,7,3,10,7,0,0,0
6851,535,Pepperoni Sandwich,550,37,17,0,80,"1,780",30,1,2,15,0,6,68,2,0,0,0
